modelID,split,groupDimension,groupName,weighting,sampleCount,eventCount,positionRMSEMeters,velocityRMSEMetersPerSecond,positionMedianErrorMeters,velocityMedianErrorMetersPerSecond,positionP95ErrorMeters,velocityP95ErrorMetersPerSecond
legacy_stage3a_v1,validation,maneuver_class,constvel_like,independent_event_weighted,61742,11900,80.4737673186626,0.740701830085651,25.3350415024213,0.224071919213342,154.982303668902,1.50758083951502
expanded_scratch_mean_v1,validation,maneuver_class,constvel_like,pair_weighted,61742,11900,13.3658650964955,0.545783313433372,9.3846105410852,0.180879021600441,25.6232721822569,0.946700644231889
expanded_scratch_mean_v1,validation,maneuver_class,constvel_like,independent_event_weighted,61742,11900,13.1800752094503,0.647617627508331,9.05858856623776,0.213768006649467,25.2641385300822,1.19686654670825
expanded_warm_mean_v1,validation,maneuver_class,constvel_like,pair_weighted,61742,11900,13.1685773451705,0.520127836963899,9.30689873207409,0.151451531631157,25.2522214271707,0.838941000093579
expanded_warm_mean_v1,validation,maneuver_class,constvel_like,independent_event_weighted,61742,11900,12.9712187366783,0.621079615352731,9.18104613301621,0.174115318484499,24.6260071680556,1.13209433901856
constvel,validation,maneuver_class,constacc_like,pair_weighted,17030,9594,8.27368244680196,1.04254946164573,5.51766840209196,0.514444400000015,15.8513676635837,1.9202257671579
constvel,validation,maneuver_class,constacc_like,independent_event_weighted,17030,9594,8.64602994288552,1.05066527081291,5.6235752278215,0.514444399999992,16.7071385952272,1.87205175106843
legacy_stage3a_v1,validation,maneuver_class,constacc_like,pair_weighted,17030,9594,102.316692643266,1.12999287286344,28.0601072661108,0.567667783016939,232.806180824433,2.18535651203497
legacy_stage3a_v1,validation,maneuver_class,constacc_like,independent_event_weighted,17030,9594,112.099576876427,1.15369391448329,27.4983907882479,0.525351986316194,274.102976338821,2.2432251117919
expanded_scratch_mean_v1,validation,maneuver_class,constacc_like,pair_weighted,17030,9594,14.5558521438047,1.06591002541879,9.41959478418183,0.51938809625626,29.2419085297584,2.02099406618666
