variantID,displayName,turnIntensity,accelerationIntensity,verticalStatus,updateInterval,pairCount,trackCount,aircraftCount,sessionCount,occupied
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,level,5-15,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,climb,5-15,53,29,27,13,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,climb,5-15,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,climb,5-15,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,climb,5-15,2,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,climb,5-15,33,20,20,9,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,climb,5-15,5,4,4,4,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,climb,5-15,4,4,4,4,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,climb,5-15,2,2,2,2,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,climb,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,descent,15-30,4,4,4,2,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,<0.1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,descent,15-30,7,5,5,5,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,descent,15-30,2,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,descent,15-30,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,descent,15-30,0,0,0,0,0
