domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_in_distribution,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,36651,100,89.1554514441872,55.7395810640155,113.838598564068,12.1797346379639,4.34399273227885,19.682850751866
synthetic_in_distribution,degraded,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,36651,100,89.5724572862571,55.7793603373243,114.064988302955,12.2393958462546,4.34372135878852,19.7227385620152
synthetic_out_of_distribution,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,60000,50,47.4116458591098,36.0116334958006,90.6184572401229,13.2852421418263,2.31170242173072,28.8283130039347
synthetic_out_of_distribution,ideal,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,60000,50,47.4116458591159,36.0116334958006,90.6184572401229,13.285242141828,2.31170242173072,28.8283130039347
synthetic_out_of_distribution,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,60000,50,3.31558111605368,0.549293882486653,7.19722056294649,13.2623244642147,2.1971755299428,28.7888822517873
synthetic_out_of_distribution,ideal,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,60000,50,3.3155811160541,0.549293882486653,7.19722056294649,13.2623244642164,2.1971755299428,28.7888822517873
synthetic_out_of_distribution,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,59950,50,47.4223586546177,36.0289889461966,90.6264105388657,13.2851205628598,2.31182592970403,28.8289701174281
synthetic_out_of_distribution,ideal,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,59950,50,47.4223586546184,36.0289889461966,90.6264105388657,13.28512056286,2.31182592970403,28.8289701174281
synthetic_out_of_distribution,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,59950,50,3.31554029230004,0.549293882486653,7.19722056294659,13.2621611692002,2.1971755299428,28.7888822517873
synthetic_out_of_distribution,ideal,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,59950,50,3.31554029230009,0.549293882486653,7.19722056294659,13.2621611692004,2.1971755299428,28.7888822517873
synthetic_out_of_distribution,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,59950,50,0.890494259911975,1.81898940354586e-12,0.618062695390292,3.5619770396479,0,2.47225078157171
synthetic_out_of_distribution,ideal,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,59950,50,0.890494259911988,1.81898940354586e-12,0.618062695390292,3.56197703964797,0,2.47225078157171
synthetic_out_of_distribution,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,59950,50,1.04915563625291,0.243569712398586,1.52783522430005,4.19500184489634,0.96407403570713,6.11327033433923
synthetic_out_of_distribution,ideal,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,59950,50,1.04915563625292,0.243569712398586,1.52783522430005,4.19500184489638,0.96407403570713,6.11327033433923
synthetic_out_of_distribution,empirical_timing,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,24800,50,240.756582895386,40.6861567029669,163.797412135087,45.5818724409859,4.245166993888,69.9039101144076
synthetic_out_of_distribution,empirical_timing,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,24800,50,242.289180044275,40.6861567029669,164.635334917873,45.6980954852384,4.27736452462713,69.8315271409945
synthetic_out_of_distribution,empirical_timing,same_information,constvel,pair_weighted,all,latent_kinematic_truth,24800,50,215.889081853621,1.9884598799038,79.9994820034072,45.4519684387445,3.9417694547921,70.2339906198471
synthetic_out_of_distribution,empirical_timing,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,24800,50,217.250910860569,1.98930582493628,80.232801762858,45.5673080372327,3.94927178367044,70.1362895985805
synthetic_out_of_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,24750,50,240.964052073551,40.7094641499672,163.896846546007,45.5970088872901,4.25032767152601,69.9484161994358
synthetic_out_of_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,24750,50,242.502123099567,40.7068749636247,164.638986522736,45.7135263884198,4.27948461306472,69.8315271409945
synthetic_out_of_distribution,empirical_timing,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,24750,50,216.079631977395,1.9884598799038,80.0555824493838,45.4669679167878,3.9417694547921,70.2367974953572
synthetic_out_of_distribution,empirical_timing,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,24750,50,217.446348192389,1.98930582493628,80.232801762858,45.5825925049155,3.94927178367044,70.1362895985805
synthetic_out_of_distribution,empirical_timing,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,24750,50,201.008904243359,1.51096607858891e-11,22.847848921827,41.3430867428763,0,31.1681118351719
synthetic_out_of_distribution,empirical_timing,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,24750,50,201.810003580201,1.51096607858891e-11,23.3637651546795,41.5314032855262,0,31.2208730522866
synthetic_out_of_distribution,empirical_timing,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,24750,50,147.845136576807,0.599647509740019,25.881998086764,31.1156750406219,1.891790916497,25.800339985696
synthetic_out_of_distribution,empirical_timing,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,24750,50,148.470006201715,0.600794060030332,26.1404194608917,31.2429682200885,1.90016759547964,25.8157712701918
synthetic_out_of_distribution,degraded,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,18624,50,321.342346882976,77.4922809070888,277.799344629681,58.1662220755872,6.76616129401166,106.072244355997
synthetic_out_of_distribution,degraded,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,18624,50,323.45919231602,77.475680803972,279.292566521386,58.2891389699675,6.77513929293917,106.072244355997
synthetic_out_of_distribution,degraded,same_information,constvel,pair_weighted,all,latent_kinematic_truth,18624,50,292.368255708374,59.1294891153755,181.296594449176,58.0097235985057,6.40710705377955,106.419663519902
synthetic_out_of_distribution,degraded,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,18624,50,294.452345352031,59.1352601515904,182.045902482791,58.1322786769101,6.41936342379649,106.419663519902
synthetic_out_of_distribution,degraded,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,18574,50,321.646960981447,77.4886948104856,278.099141084858,58.1890484888285,6.76632674650892,106.090868616973
synthetic_out_of_distribution,degraded,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,18574,50,323.772042923031,77.473433288792,279.314806285496,58.3114758133444,6.78647877886926,106.072244355997
synthetic_out_of_distribution,degraded,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,18574,50,292.665818540985,59.1053396008356,181.389376784217,58.0326258867395,6.40734288419331,106.528456446938
